Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Europe du Nord - Médtierranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0184;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Intra Europe du Nord;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0239;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Intra Méditerranée;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0271;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Méditerranée - Amérique du Nord, façade atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0174;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Méditerranée - Amérique du Nord, façade pacifique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0152;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons détaillées;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Trans-Atlantique;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0163;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Trans-Suez;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0141;Transport de marchandises ; Maritime ; Porte-conteneur ; Liaisons principales;
élément décomposé par poste;Poste 12;Porte-conteneur;Reefer;Valeur moyenne;bateau,fret,porte-conteneur;kgCO2e/t.km;France continentale;60;0,0141;Transport de marchandises ; Maritime ; Porte-conteneur ; Moyenne mondiale;
élément non décomposé;Poste 9;Poutrelle en béton;/;/;matériaux de construction,béton,poutrelle;kgCO2e/mL;France continentale;10;3,22;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 9;PP - polypropylène;/;/;Plastique,PP,polypropylène;kgCO2e/tonne;France continentale;100;2000;Achats de biens ; Plastiques et produits chimiques ; Plastiques et caoutchouc ; Polymères de propylène;
élément non décomposé;Poste 9;Produits de traitement de la vapeur d'eau;/;/;;kgCO2e/tonne;France continentale;50;3670;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Autres produits chimiques;
élément non décomposé;Poste 10;Racks :baies ou cabinets;;;informatique,baie informatique;kgCO2e/appareil;Monde;30;500;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Radiateur électrique;1000 W à inertie;;equipement,Radiateur électrique;kgCO2e/unité;France continentale;50;94,2;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Radiateur électrique;1000 W à rayonnement;;equipement,Radiateur électrique;kgCO2e/unité;France continentale;50;37,6;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 9;Ramette de papier blanc;80g/m² A4;Hors utilisation et fin de vie;PAPIER;kgCO2e/unité;France continentale;;2,29;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 9;Recyclage en place à chaud :REC;/;/;matériaux de construction;kgCO2e/tonne;France continentale;20;42;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 9;Recyclage en place à l'émulsion;/;/;matériaux de construction;kgCO2e/tonne;France continentale;20;10,5;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément décomposé par poste;Poste 10;Réfrigérateur;combiné;;Cuisine,électroménager,Réfrigérateur,combiné;kgCO2e/unité;France continentale;30;257;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Réfrigérateur;mini-bar;33l;Cuisine,électroménager,Réfrigérateur,mini-bar;kgCO2e/unité;France continentale;30;87,6;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Réfrigétateur;1 grande porte;250l;Cuisine,Réfrigétateur,électroménager;kgCO2e/unité;France continentale;30;300;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par gaz;Poste 9;Régulateur de croissance;/;/;phytosanitaire,régulateur de croissance;kgCO2e/kg de matière active;France continentale;50;8,64;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Phytosanitaires
élément non décomposé;Poste 9;Repas;/;à dominante animale : avec boeuf;repas;kgCO2e/repas;France continentale;50;7,26;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;à dominante animale : avec poulet;repas;kgCO2e/repas;France continentale;50;1,58;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;à dominante végétale : avec boeuf;repas;kgCO2e/repas;France continentale;50;2,01;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;à dominante végétale : avec poulet;repas;kgCO2e/repas;France continentale;50;0,8;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;classique : avec boeuf;repas;kgCO2e/repas;France continentale;50;6,29;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;classique : avec poulet;repas;kgCO2e/repas;France continentale;50;1,35;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;moyen;repas;kgCO2e/repas;France continentale;50;2,04;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Repas;/;végétarien;repas;kgCO2e/repas;France continentale;50;0,51;Achats de services ; Restauration;;;
élément décomposé par poste;Postes 13 et 23;RER et transilien;2018;Ile de France;RER,transilien;kgCO2e/passager.km;France continentale;20;7,68E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Postes 13 et 23;RER et transilien;2019;Ile de France;RER,transilien;kgCO2e/passager.km;France continentale;20;7,28E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Poste 12;Rigide;12 à 20 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,16;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;12 à 20 tonnes;GNC;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,156;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;12 à 20 tonnes;GNL;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,187;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;20 à 26 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,135;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;20 à 26 tonnes;GNC;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,146;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;20 à 26 tonnes;GNL;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,187;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;26 à 32 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,105;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;3,5 à 7,5 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,378;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;3,5 à 7,5 tonnes;Electrique;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,058;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;3,5 à 7,5 tonnes;GNC;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,366;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;3,5 à 7,5 tonnes;Hybride parallèle;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,275;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;3,5 à 7,5 tonnes;Hybride série;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,299;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;7,5 à 12 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,241;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Rigide;7,5 à 12 tonnes;GNC;camion,fret,Rigide;kgCO2e/t.km;France continentale;70;0,228;Transport de marchandises ; Routier ; Par catégorie ; Rigide par motorisation;
élément décomposé par poste;Poste 12;Ro-Pax;;HFO-MGO;bateau,roulier,fret;kgCO2e/t.km;France continentale;60;0,209;Transport de marchandises ; Maritime ; Rouliers;;
élément décomposé par poste;Poste 12;Ro-Ro;Camions et Remorques;HFO-MGO;bateau,roulier,fret;kgCO2e/t.km;France continentale;60;0,101;Transport de marchandises ; Maritime ; Rouliers;;
élément décomposé par poste;Poste 12;Ro-Ro;Chargement moyen;HFO-MGO;bateau,roulier,fret;kgCO2e/t.km;France continentale;60;0,0457;Transport de marchandises ; Maritime ; Rouliers;;
élément décomposé par poste;Poste 12;Ro-Ro;Remorques uniquement;HFO-MGO;bateau,roulier,fret;kgCO2e/t.km;France continentale;60;0,0687;Transport de marchandises ; Maritime ; Rouliers;;
élément décomposé par poste;Poste 10;Robot multifonction;;;,Cuisine,électroménager,Robot multifonction;kgCO2e/unité;France continentale;50;41,3;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste et par gaz;Poste 10;Robot tondeuse :Lithium Ion 3.2 Ah;;;Robot,equipement,jardin,Tondeuse,entretien;kgCO2e/unité;France continentale;50;110;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par poste;Poste 10;Salon de jardin;bois;;bois,mobilier,Salon de jardin,jardin;kgCO2e/unité;France continentale;30;69,2;Achats de biens ; Mobilier;;;
élément décomposé par poste;Poste 10;Salon de jardin;métal;;mobilier,Salon de jardin,jardin,métal;kgCO2e/unité;France continentale;30;238;Achats de biens ; Mobilier;;;
élément décomposé par poste;Poste 10;Salon de jardin;résine tressée;;mobilier,Salon de jardin,jardin,résine tressée;kgCO2e/unité;France continentale;30;260;Achats de biens ; Mobilier;;;
élément non décomposé;Poste 9;Saumure :chlorure de sodium;/;/;viticulture,saumure,chlorure de sodium;kgCO2e/tonne;France continentale;100;169;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par poste et par gaz;Poste 10;Scie sauteuse 720 W;;;equipement,bricolage,Scie;kgCO2e/unité;France continentale;50;31,7;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément non décomposé;Poste 9;Scories thomas;/;/;engrais,fertilisant,scories thomas;kgCO2e/tonne de P2O5;Europe;30;1173;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par poste;Poste 10;Séche linge;à évacuation;Capacité 6kg;électroménager,Séche linge;kgCO2e/unité;France continentale;30;266;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Sèche-linge;à condensation;Capacité 6kg;électroménager,Sèche-linge;kgCO2e/unité;France continentale;30;302;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Sèche-linge;à pompe à chaleur;Capacité 8kg;électroménager,Sèche-linge,à pompe à chaleur;kgCO2e/unité;France continentale;30;302;Achats de biens ; Machines et équipements ; Electroménager;;
élément non décomposé;Poste 10;Serveurs informatiques;;;informatique,serveur;kgCO2e/appareil;Monde;80;600;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Service;Action sociale;/;biens et services,action sociale,ratio monétaire;kgCO2e/keuro;France continentale;80;100;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Activités créatives, artistiques, culturelles, bibliothèques, et organisation de jeux de hasard;/;bibliothèques,musées,activités culturelles,biens et services,artistiques,spectacle,archives,organisation de jeux de hasard et d'argent,ratio monétaire,activités créatives;kgCO2e/keuro;France continentale;80;210;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Activités des organisations associatives;/;biens et services,ratio monétaire,activités des organisations associatives;kgCO2e/keuro;France continentale;80;220;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Activités pour la santé humaine;/;biens et services,ratio monétaire,activités pour la santé humaine;kgCO2e/keuro;France continentale;80;120;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Activités sportives, récréatives et de loisirs;/;biens et services,ratio monétaire,activités sportives,récréatives et de loisirs;kgCO2e/keuro;France continentale;80;270;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Administration publiques et défense, sécurité sociale obligatoire;/;biens et services,ratio monétaire,administration publiques et défense,sécurité sociale obligatoire;kgCO2e/keuro;France continentale;80;160;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Assurance, services bancaires, conseil et honoraires;/;biens et services,assurance,services bancaires,conseil et honoraires,ratio monétaire;kgCO2e/keuro;France continentale;80;110;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Bois et article en bois;/;biens et services,bois et article en bois,ratio monétaire;kgCO2e/keuro;France continentale;80;500;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Construction;/;biens et services,construction,ratio monétaire;kgCO2e/keuro;France continentale;80;360;Achats de services ; Ratios monétaires;;;
